Dimension,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_DualGapSD,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_DualGapNotSolvedSD,LS_ONLY_SECANT_IterationsAll,LS_ONLY_SECANT_IterationsSolved,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_DualGapSD,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_DualGapNotSolvedSD,LS_ADAPTIVE_IterationsAll,LS_ADAPTIVE_IterationsSolved,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGap,LS_AGNOSTIC_DualGapSD,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_DualGapNotSolvedSD,LS_AGNOSTIC_IterationsAll,LS_AGNOSTIC_IterationsSolved
10000,5,136.203,0.0,1.0,Inf,Inf,12063,12063,200.097,0.0,1.0,Inf,Inf,19437,19437,3561.848,0.0,1.05,0.0,1.002,359916,376918
40000,5,1164.45,0.0,1.0,Inf,Inf,11965,11965,1763.819,0.0,1.0,Inf,Inf,19443,19443,3600.484,0.0,1.0,Inf,Inf,46370,46370
90000,5,3338.596,0.0,1.0,Inf,Inf,9333,9333,3601.251,0.0,1.0,Inf,Inf,10927,10927,3600.969,0.0,1.0,Inf,Inf,16755,16755
160000,5,3602.805,0.0,1.01,Inf,Inf,4409,4409,3602.772,0.0,1.0,Inf,Inf,4588,4588,3601.844,0.0,1.0,Inf,Inf,8310,8310
250000,5,3605.218,0.0,1.0,Inf,Inf,2316,2316,3605.346,0.0,1.0,Inf,Inf,2458,2458,3602.829,0.0,1.0,Inf,Inf,5252,5252
360000,5,3609.874,0.0,1.0,Inf,Inf,1343,1343,3608.906,0.0,1.0,Inf,Inf,1615,1615,3603.714,0.0,1.0,Inf,Inf,3848,3848
490000,5,3615.388,0.0,1.0,Inf,Inf,871,871,3611.829,0.0,1.0,Inf,Inf,1122,1122,3605.247,0.0,1.0,Inf,Inf,2816,2816
640000,5,3619.216,0.0,1.0,Inf,Inf,725,725,3617.035,0.0,1.0,Inf,Inf,842,842,3606.641,0.0,1.0,Inf,Inf,2161,2161
810000,5,3623.299,0.0,1.0,Inf,Inf,559,559,3623.005,0.0,1.0,Inf,Inf,641,641,3608.074,0.0,1.0,Inf,Inf,1717,1717
1000000,5,3631.3,0.0,1.0,Inf,Inf,458,458,3624.803,0.0,1.0,Inf,Inf,531,531,3609.434,0.0,1.0,Inf,Inf,1399,1399
