Dimension,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_DualGapSD,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_DualGapNotSolvedSD,LS_ONLY_SECANT_IterationsAll,LS_ONLY_SECANT_IterationsSolved,LS_SECANT_WITH_BACKTRACKING_Time,LS_SECANT_WITH_BACKTRACKING_DualGap,LS_SECANT_WITH_BACKTRACKING_DualGapSD,LS_SECANT_WITH_BACKTRACKING_DualGapNotSolved,LS_SECANT_WITH_BACKTRACKING_DualGapNotSolvedSD,LS_SECANT_WITH_BACKTRACKING_IterationsAll,LS_SECANT_WITH_BACKTRACKING_IterationsSolved,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_DualGapSD,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_DualGapNotSolvedSD,LS_ADAPTIVE_IterationsAll,LS_ADAPTIVE_IterationsSolved,LS_BACKTRACKING_AND_SECANT_Time,LS_BACKTRACKING_AND_SECANT_DualGap,LS_BACKTRACKING_AND_SECANT_DualGapSD,LS_BACKTRACKING_AND_SECANT_DualGapNotSolved,LS_BACKTRACKING_AND_SECANT_DualGapNotSolvedSD,LS_BACKTRACKING_AND_SECANT_IterationsAll,LS_BACKTRACKING_AND_SECANT_IterationsSolved,LS_ADAPTIVE_AND_SECANT_Time,LS_ADAPTIVE_AND_SECANT_DualGap,LS_ADAPTIVE_AND_SECANT_DualGapSD,LS_ADAPTIVE_AND_SECANT_DualGapNotSolved,LS_ADAPTIVE_AND_SECANT_DualGapNotSolvedSD,LS_ADAPTIVE_AND_SECANT_IterationsAll,LS_ADAPTIVE_AND_SECANT_IterationsSolved,LS_ADAPTIVE_ZERO_AND_SECANT_Time,LS_ADAPTIVE_ZERO_AND_SECANT_DualGap,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapSD,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapNotSolved,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapNotSolvedSD,LS_ADAPTIVE_ZERO_AND_SECANT_IterationsAll,LS_ADAPTIVE_ZERO_AND_SECANT_IterationsSolved,LS_SECANT_3_Time,LS_SECANT_3_DualGap,LS_SECANT_3_DualGapSD,LS_SECANT_3_DualGapNotSolved,LS_SECANT_3_DualGapNotSolvedSD,LS_SECANT_3_IterationsAll,LS_SECANT_3_IterationsSolved,LS_SECANT_5_Time,LS_SECANT_5_DualGap,LS_SECANT_5_DualGapSD,LS_SECANT_5_DualGapNotSolved,LS_SECANT_5_DualGapNotSolvedSD,LS_SECANT_5_IterationsAll,LS_SECANT_5_IterationsSolved,LS_SECANT_7_Time,LS_SECANT_7_DualGap,LS_SECANT_7_DualGapSD,LS_SECANT_7_DualGapNotSolved,LS_SECANT_7_DualGapNotSolvedSD,LS_SECANT_7_IterationsAll,LS_SECANT_7_IterationsSolved,LS_SECANT_12_Time,LS_SECANT_12_DualGap,LS_SECANT_12_DualGapSD,LS_SECANT_12_DualGapNotSolved,LS_SECANT_12_DualGapNotSolvedSD,LS_SECANT_12_IterationsAll,LS_SECANT_12_IterationsSolved
10000,4.992,0.0,1.02,Inf,Inf,23601,23601,4.471,0.0,1.02,Inf,Inf,23601,23601,7.317,0.0,1.02,Inf,Inf,32545,32545,3600.256,0.0,1.0,0.0,1.005,8334365,Inf,9.818,0.0,1.02,Inf,Inf,32545,32545,6.252,0.0,1.02,Inf,Inf,25324,25324,3.895,0.0,1.02,Inf,Inf,23601,23601,3.939,0.0,1.02,Inf,Inf,23601,23601,5.011,0.0,1.02,Inf,Inf,23601,23601,5.024,0.0,1.02,Inf,Inf,23601,23601
40000,3600.942,0.0,1.0,Inf,Inf,9017,9017,3600.887,0.0,1.0,Inf,Inf,9169,9169,3600.955,0.0,1.0,Inf,Inf,11547,11547,3601.086,0.0,1.0,Inf,Inf,7110,7110,3601.485,0.001,1.0,Inf,Inf,3413,3413,3601.053,0.0,1.0,Inf,Inf,6998,6998,3601.126,0.0,1.0,Inf,Inf,5973,5973,3601.531,0.0,1.0,Inf,Inf,4984,4984,3600.928,0.0,1.0,Inf,Inf,8405,8405,3601.005,0.0,1.0,Inf,Inf,8424,8424
90000,3601.706,0.001,1.0,Inf,Inf,3911,3911,3601.202,0.0,1.0,Inf,Inf,9157,9157,3600.98,0.0,1.0,Inf,Inf,11754,11754,3600.767,0.0,1.0,Inf,Inf,6808,6808,3601.367,0.0,1.0,Inf,Inf,6006,6006,3601.197,0.0,1.0,Inf,Inf,7408,7408,3600.831,0.0,1.0,Inf,Inf,10166,10166,3601.47,0.0,1.0,Inf,Inf,5108,5108,3600.916,0.0,1.0,Inf,Inf,8512,8512,3601.042,0.0,1.0,Inf,Inf,9094,9094
160000,3601.123,0.0,1.0,Inf,Inf,8529,8529,3601.168,0.0,1.0,Inf,Inf,9080,9080,3601.113,0.0,1.0,Inf,Inf,11975,11975,3601.378,0.0,1.0,Inf,Inf,4575,4575,3601.232,0.0,1.0,Inf,Inf,6540,6540,3601.225,0.0,1.0,Inf,Inf,7628,7628,3601.164,0.0,1.0,Inf,Inf,8087,8087,3601.5,0.0,1.0,Inf,Inf,5233,5233,3600.991,0.0,1.0,Inf,Inf,9254,9254,3601.024,0.0,1.0,Inf,Inf,9143,9143
250000,3601.317,0.0,1.0,Inf,Inf,6676,6676,3601.902,0.001,1.0,Inf,Inf,2580,2580,3601.594,0.0,1.0,Inf,Inf,10646,10646,3601.639,0.001,1.0,Inf,Inf,3005,3005,3601.528,0.0,1.0,Inf,Inf,5911,5911,3601.67,0.0,1.0,Inf,Inf,5937,5937,3601.315,0.0,1.0,Inf,Inf,6411,6411,3601.455,0.001,1.0,Inf,Inf,3792,3792,3601.47,0.0,1.0,Inf,Inf,6995,6995,3601.239,0.0,1.0,Inf,Inf,6833,6833
360000,3601.486,0.0,1.0,Inf,Inf,5710,5710,3601.445,0.0,1.0,Inf,Inf,5557,5557,3601.743,0.001,1.0,Inf,Inf,5828,5828,3601.827,0.001,1.0,Inf,Inf,2665,2665,3601.444,0.001,1.0,Inf,Inf,4711,4711,3601.647,0.001,1.0,Inf,Inf,4474,4474,3601.452,0.0,1.0,Inf,Inf,5774,5774,3601.472,0.001,1.0,Inf,Inf,3648,3648,3601.557,0.0,1.0,Inf,Inf,5561,5561,3601.699,0.0,1.0,Inf,Inf,5837,5837
490000,3601.741,0.001,1.0,Inf,Inf,3673,3673,3601.582,0.001,1.0,Inf,Inf,3600,3600,3601.87,0.001,1.0,Inf,Inf,4538,4538,3601.907,0.001,1.0,Inf,Inf,2386,2386,3601.594,0.001,1.0,Inf,Inf,4825,4825,3602.196,0.001,1.0,Inf,Inf,3214,3214,3601.443,0.001,1.0,Inf,Inf,3565,3565,3602.149,0.001,1.0,Inf,Inf,3128,3128,3601.675,0.001,1.0,Inf,Inf,3614,3614,3601.772,0.001,1.0,Inf,Inf,3750,3750
640000,3601.605,0.001,1.0,Inf,Inf,3252,3252,3601.769,0.001,1.0,Inf,Inf,3255,3255,3602.123,0.001,1.0,Inf,Inf,3750,3750,3602.006,0.001,1.0,Inf,Inf,2220,2220,3602.19,0.001,1.0,Inf,Inf,2290,2290,3602.058,0.001,1.0,Inf,Inf,2400,2400,3601.945,0.001,1.0,Inf,Inf,3273,3273,3601.844,0.001,1.0,Inf,Inf,3148,3148,3601.942,0.001,1.0,Inf,Inf,3243,3243,3601.645,0.001,1.0,Inf,Inf,3303,3303
810000,3602.13,0.001,1.0,Inf,Inf,2820,2820,3602.009,0.001,1.0,Inf,Inf,2817,2817,3601.902,0.001,1.0,Inf,Inf,3386,3386,3602.498,0.001,1.0,Inf,Inf,2033,2033,3602.003,0.002,1.0,Inf,Inf,1880,1880,3602.326,0.001,1.0,Inf,Inf,2101,2101,3601.974,0.001,1.0,Inf,Inf,2818,2818,3602.485,0.001,1.0,Inf,Inf,2812,2812,3601.81,0.001,1.0,Inf,Inf,2776,2776,3602.164,0.001,1.0,Inf,Inf,2801,2801
1000000,3601.906,0.001,1.0,Inf,Inf,2814,2814,3602.176,0.001,1.0,Inf,Inf,2652,2652,3602.094,0.001,1.0,Inf,Inf,3163,3163,3602.052,0.001,1.0,Inf,Inf,1969,1969,3602.832,0.002,1.0,Inf,Inf,1499,1499,3602.971,0.001,1.0,Inf,Inf,1975,1975,3601.973,0.001,1.0,Inf,Inf,2672,2672,3602.212,0.001,1.0,Inf,Inf,2684,2684,3601.832,0.001,1.0,Inf,Inf,2629,2629,3601.733,0.001,1.0,Inf,Inf,2639,2639
